"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time"
0.76,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00833644186467,0,NA,0,NA,0.00019340779242657,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.77,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00717593689587,0,NA,0,NA,0.000127404140354152,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.78,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00613182161573,0,NA,0,NA,9.63140671467694e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.79,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00521090540765,0,NA,0,NA,9.91945438441134e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.004344584135,0,NA,0,NA,0.000109560930299048,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.81,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00343848955674,0,NA,0,NA,0.000116705410574091,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.82,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00244354371833,0,NA,0,NA,0.000112806434661209,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.83,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.001410950265,0,NA,0,NA,9.01599506313565e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.84,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00051730978433,0,NA,0,NA,7.58567393682007e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.85,"Athlete 1","Training","",1,2021-10-25 00:02:28,1.00005475553813,0,NA,0,NA,0.000142615317531513,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
