ms,xacc,yacc,zacc
7269,0.06,0,1.01
7277,0.06,0,1.01
7286,0.04,0,1.01
7297,0.04,0.01,1
7306,0.04,0,1
7314,0.04,0,1.01
7322,0.04,0,1.01
7330,0.04,0,1.01
7339,0.04,0,1
7350,0.04,0,1
7358,0.04,0,1
7367,0.04,0,1
7375,0.04,0,1
7383,0.04,0,1.01
7392,0.04,0,1.01
7400,0.04,0,1.01
7411,0.04,0,1.01
7420,0.04,0,1.01
7428,0.03,0.01,1.01
7436,0.03,0.01,1.01
7445,0.03,0.01,1
7453,0.03,0.01,1
7464,0.03,0.01,1
7472,0.04,0.01,1
7481,0.04,0,1
7488,0.04,0,1
7496,0.04,0,1
7505,0.04,0,1
7513,0.04,0,1
7524,0.04,0,1
7533,0.05,0,1
7541,0.05,0,1
7549,0.06,0.01,1.01
7557,0.06,0.01,1.01
7566,0.06,0.01,1.02
7574,0.06,0.01,1.01
7585,0.05,0,1.01
7593,0.05,0,1.01
7601,0.05,0,1
7609,0.04,0,1
7618,0.04,0,1
7626,0.04,0.01,1
7637,0.04,0.01,1.01
7646,0.04,0.01,1.01
7654,0.05,0.01,1.01
7662,0.05,0,1
7671,0.06,0,1
7679,0.07,-0.01,1
7687,0.07,-0.01,1
7699,0.07,0,1
7707,0.08,0,1
7715,0.08,-0.01,1
7724,0.09,0,1
7732,0.08,0,1
7740,0.09,0,0.99
7751,0.07,0.01,1.01
7759,0.07,0.01,1.01
7768,0.06,0.01,1.01
7776,0.05,0.01,1.01
7784,0.04,0.01,1.02
7793,0.04,0.01,1.01
7801,0.04,0.01,1.01
7812,0.04,0.01,1.02
7822,0.03,0.01,1.02
7830,0.03,0.01,1.01
7839,0.02,0,1.01
7847,0.02,0,1.01
7856,0.02,0,1
7868,0.03,0,1
7876,0.03,0,1
7884,0.03,0,1
7892,0.04,0.01,1.01
7901,0.04,0.01,1.01
7909,0.04,0.01,1.01
7917,0.04,0.01,1
7928,0.04,0.01,1
7937,0.04,0.01,1.01
7945,0.04,0.01,1.01
7953,0.05,0.01,1.01
7962,0.05,0.01,1.01
7970,0.05,0.02,1.01
7981,0.05,0.01,1.01
7989,0.04,0.01,1
7998,0.05,0.01,1
8006,0.05,0.02,1
8014,0.05,0.01,1
8023,0.05,0.01,1
8031,0.05,0.01,1
8042,0.06,0.01,1
8050,0.06,0.01,1
8059,0.07,0.01,1.01
8067,0.06,0.01,1.01
8075,0.06,0.01,1
8084,0.06,0.01,1.01
8095,0.05,0.01,1.01
8103,0.05,0.01,1
8111,0.05,0,1
8120,0.05,0,1
8128,0.05,0,1
8136,0.06,0.01,1.01
8144,0.06,0.01,1.01
8156,0.06,0.01,1.01
8164,0.05,0.01,1.01
8172,0.05,0.01,1.01
8180,0.05,0.01,1.01
8189,0.05,0.01,1.01
8197,0.06,0.01,1.01
8208,0.06,0.01,1
8217,0.06,0.01,1
8225,0.06,0.01,1
8233,0.06,0.02,1
8241,0.06,0.02,1
8250,0.06,0.02,1
8258,0.06,0.01,1
8269,0.06,0.01,1
8278,0.06,0.01,1
8286,0.06,0.01,1
8294,0.06,0.01,1
8302,0.06,0.01,1.01
8311,0.05,0.01,1.01
8319,0.04,0.01,1.01
8330,0.04,0.02,1.01
8340,0.03,0.02,1
8348,0.03,0.02,1
8357,0.03,0.02,1
8366,0.04,0.01,1
8374,0.04,0.01,1.01
8383,0.04,0.01,1.01
8394,0.03,0.01,1.01
8403,0.03,0.01,1.01
8411,0.02,0.01,1
8419,0.02,0.01,1
8428,0.02,0.02,1.01
8436,0.03,0.02,1.01
8447,0.03,0.01,1.01
8455,0.04,0,1.01
8464,0.03,0,1.01
8472,0.04,0.01,1
8480,0.04,0.01,1
8489,0.04,0.01,0.99
8497,0.04,0.01,1
8516,0.06,0.02,1.01
8524,0.05,0.02,1.01
8532,0.05,0.02,1.01
8541,0.06,0.02,1.01
8549,0.06,0.02,1.01
8557,0.06,0.03,1.01
8569,0.05,0.03,1.01
8577,0.06,0.03,1.01
8585,0.05,0.03,1.01
8594,0.05,0.02,1.01
8602,0.05,0.02,1.01
8610,0.05,0.02,1
8619,0.05,0.02,1
8630,0.05,0.02,1
8638,0.05,0.02,1
8646,0.05,0.02,1
8655,0.05,0.02,1
8663,0.05,0.02,1
8671,0.05,0.02,1
8679,0.04,0.02,1.01
8691,0.05,0.02,1.01
8699,0.05,0.02,1.01
8707,0.05,0.02,1.01
8716,0.04,0.02,1.01
8724,0.05,0.02,1.01
8732,0.04,0.02,1.01
8744,0.05,0.02,1.01
8752,0.05,0.02,1.01
8760,0.04,0.02,1
8768,0.05,0.02,1
8777,0.05,0.02,1
8785,0.05,0.02,1
8793,0.06,0.01,1.01
8804,0.05,0.01,1
8813,0.05,0.01,1
8821,0.05,0.01,1.01
8829,0.04,0.01,1.01
8838,0.05,0.01,1.01
8846,0.05,0.02,1
8857,0.06,0.01,1
8867,0.07,0.01,1.01
8875,0.05,0.01,1.01
8884,0.05,0.01,1.01
8893,0.05,0.01,1
8901,0.05,0.01,1
8910,0.05,0.01,1
8921,0.05,0.01,1
8929,0.05,0.01,1
8938,0.05,0.01,1.01
8946,0.05,0.01,1.01
8954,0.06,0.01,1.01
8963,0.05,0.01,1.01
8974,0.05,0.01,1
8982,0.05,0.02,1
8990,0.05,0.01,1
8998,0.05,0.01,1.01
9007,0.05,0,1
9015,0.05,0,1
9023,0.05,0,1
9034,0.05,0.01,1
9042,0.05,0.01,1.01
9051,0.05,0.01,1.01
9059,0.05,0,1.01
9067,0.04,0,1.01
9075,0.04,0,1.01
9083,0.04,0,1
9094,0.04,0,1
9102,0.04,0,1
9111,0.05,0.01,1
9119,0.05,0.01,1.01
9127,0.05,0.01,1.01
9135,0.05,0,1.01
9147,0.04,0.01,1
9155,0.05,0,1
9163,0.05,0,1
9171,0.05,0,1
9180,0.06,0,1.01
9188,0.05,0,1.01
9196,0.06,0.01,1.02
9207,0.05,0.01,1.01
9216,0.05,0.01,1.01
9224,0.05,0.02,1.01
9232,0.05,0.02,1
9241,0.05,0.02,1
9249,0.05,0.03,1
9257,0.05,0.03,1
9268,0.05,0.03,1
9277,0.04,0.03,0.99
9285,0.05,0.03,1
9293,0.04,0.02,1
9302,0.04,0.02,1
9310,0.04,0.02,1
9321,0.04,0.02,1
9329,0.04,0.01,1
9338,0.04,0.01,1.01
9346,0.04,0.01,1.01
9354,0.04,0,1.01
9362,0.04,0,1.01
9371,0.04,0,1.01
9382,0.04,0,1.01
9390,0.04,0,1.01
9399,0.03,0,1.01
9407,0.03,0,1.01
9415,0.04,0,1.01
9423,0.04,0,1.01
9432,0.04,0.01,1.02
9443,0.04,0.01,1.01
9451,0.03,0.02,1.02
9459,0.03,0.02,1.01
9468,0.04,0.02,1.01
9476,0.04,0.02,1.01
9484,0.04,0.02,1.01
9496,0.04,0.02,1
9504,0.04,0.02,1
9512,0.05,0.02,1
9521,0.05,0.02,1
9529,0.04,0.01,0.99
9537,0.04,0.02,1
9545,0.04,0.01,0.99
9557,0.04,0.01,0.99
9566,0.04,0.01,0.99
9575,0.04,0,0.99
9583,0.04,0,1
9592,0.04,0.01,1
9601,0.04,0.01,1.01
9612,0.03,0.01,1.01
9620,0.03,0.01,1.01
9629,0.03,0.01,1.02
9637,0.03,0.01,1.01
9645,0.03,0.01,1.01
9653,0.03,0.01,1.01
9661,0.03,0.01,1.01
9673,0.02,0.01,1.01
9681,0.02,0.01,1.01
9689,0.02,0.01,1.01
9698,0.02,0.01,1.01
9706,0.02,0.01,1.01
9714,0.02,0.01,1
9723,0.02,0.01,1
9734,0.03,0,1
9742,0.03,0,1
9751,0.03,0.01,1
9759,0.03,0.01,1.01
9767,0.03,0.02,1
9776,0.03,0.01,1
9787,0.03,0.01,1
9795,0.03,0.01,1
9803,0.03,0.01,1
9812,0.03,0.01,1
9820,0.03,0.01,1
9828,0.04,0.01,1.01
9837,0.04,0.01,1.01
9848,0.04,0,1.01
9856,0.04,0,1
9864,0.03,0.01,1.01
9873,0.03,0.01,1.01
9881,0.03,0.01,1.01
9889,0.03,0.01,1.01
9900,0.03,0.01,1
9909,0.03,0.01,1.01
9917,0.02,0.01,1
9925,0.03,0.01,1
9934,0.03,0.01,1.01
9942,0.03,0.01,1.01
9950,0.03,0.01,1
9961,0.03,0.01,1
9970,0.03,0.01,1
9978,0.03,0.01,1
9986,0.03,0.01,1
9995,0.03,0.01,1
10003,0.03,0.01,1.01
10014,0.03,0.01,1.01
10022,0.04,0.01,1.01
10031,0.04,0,1
10039,0.03,0,1
