"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time","C_x_raw","C_y_raw","C_z_raw","C_up_id"
0.41,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.01799023390579,0,NA,0,NA,0.0001271158664822,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711111111110831,0.657777777777834,0.778888888888917,0.776009594978284
0.42,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.00949895539651,0,NA,0,NA,0.000114612557734919,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.638333333333365,0.77,0.773783430842886
0.43,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.00004708108773,0,NA,0,NA,0.000106542184261992,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.63,0.77,0.77051049989174
0.44,"Athlete 1","Training","",1,2021-04-24 00:14:12,0.99125385627639,0,NA,0,NA,0.000108574538506634,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788888888887906,0.62,0.768888888888791,0.766644479313443
0.45,"Athlete 1","Training","",1,2021-04-24 00:14:12,0.984515657560199,0,NA,0,NA,0.000105992896897222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655555555554152,0.62,0.76,0.76276711877965
0.46,"Athlete 1","Training","",1,2021-04-24 00:14:12,0.980631155123167,0,NA,0,NA,8.80247524151102e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469999999999545,0.62,0.76,0.759456676746444
0.47,"Athlete 1","Training","",1,2021-04-24 00:14:12,0.979701620877888,0,NA,0,NA,6.15741341384189e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.623333333333375,0.76,0.757195513789538
0.48,"Athlete 1","Training","",1,2021-04-24 00:14:12,0.981302830514199,0,NA,0,NA,4.85165976266525e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.625555555555542,0.755555555555542,0.756302994848104
0.49,"Athlete 1","Training","",1,2021-04-24 00:14:12,0.984746384552698,0,NA,0,NA,5.41599620928718e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.624166666666682,0.754166666666682,0.756874158650331
0.5,"Athlete 1","Training","",1,2021-04-24 00:14:12,0.989240159886898,0,NA,0,NA,5.59175095419698e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433333333333754,0.633333333333375,0.76,0.75873708523858
0.51,"Athlete 1","Training","",1,2021-04-24 00:14:12,0.99394707394015,0,NA,0,NA,4.61660331088016e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.64,0.76,0.761476714073867
0.52,"Athlete 1","Training","",1,2021-04-24 00:14:12,0.998060792199118,0,NA,0,NA,3.18473262852053e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.64,0.765555555555542,0.764556548145302
0.53,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.00093660151403,0,NA,0,NA,2.81465527919964e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.64,0.77,0.767502403821514
0.54,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.00221212235195,0,NA,0,NA,3.98065864980533e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433333333333754,0.633333333333375,0.77,0.770054419407727
0.55,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.00187701788877,0,NA,0,NA,5.33712664713563e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.635833333333318,0.77,0.772200545867927
0.56,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.00031280716309,0,NA,0,NA,5.92306455388718e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455555555555415,0.64,0.775555555555542,0.774078656314251
0.57,"Athlete 1","Training","",1,2021-04-24 00:14:12,0.998287932987022,0,NA,0,NA,5.24730844497789e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433333333332491,0.633333333333249,0.773333333333249,0.77581984967803
0.58,"Athlete 1","Training","",1,2021-04-24 00:14:12,0.996817215884278,0,NA,0,NA,3.90399072163275e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.622222222222166,0.777777777777834,0.777436953662193
0.59,"Athlete 1","Training","",1,2021-04-24 00:14:12,0.996838977230389,0,NA,0,NA,4.33249440215135e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.611111111111083,0.78,0.778823796375632
0.6,"Athlete 1","Training","",1,2021-04-24 00:14:12,0.998825156841036,0,NA,0,NA,6.23222235719728e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309999999999773,0.619000000000023,0.78,0.779858026745182
0.61,"Athlete 1","Training","",1,2021-04-24 00:14:12,1.00254437008547,0,NA,0,NA,7.03708187369037e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.63,0.78,0.780540912428494
