"row_number","athlete_name","session_type","session_name","session_num","time","C_res_acc","C_peak_mag","C_f_time","C_Jump","C_jh","C_PL","C_acc_zone","C_acc_zone_time","C_ma_Peak","C_raw_peak_mag","C_active_time","L_res_acc","L_peak_mag","L_f_time","L_Jump","L_jh","L_PL","L_acc_zone","L_acc_zone_time","L_ma_Peak","L_raw_peak_mag","L_active_time","R_res_acc","R_peak_mag","R_f_time","R_Jump","R_jh","R_PL","R_acc_zone","R_acc_zone_time","R_ma_Peak","R_raw_peak_mag","R_active_time","C_x_raw","C_y_raw","C_z_raw"
0.46,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.0058532543806,0,NA,0,NA,2.68891014258973e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1
0.47,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.0085042270798,0,NA,0,NA,2.2153113230885e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1.01
0.48,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01064568328046,0,NA,0,NA,1.47832881520602e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0325,1.01
0.49,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01182251290622,0,NA,0,NA,6.57623152164383e-06,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,1.01
0.5,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01186710195075,0,NA,0,NA,9.79312740911857e-06,1.5,1.5,1,1.01186710195075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433333333332491,0.0333333333332491,1.01
0.51,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.01093962107521,0,NA,0,NA,1.68094363927548e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463636363637115,0.03,1.01
0.52,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00942512283766,0,NA,0,NA,1.89686480315723e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1.01
0.53,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00774584559262,0,NA,0,NA,1.64272724797285e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1
0.54,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00619950011165,0,NA,0,NA,1.44266368044571e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0377777777778339,1.00222222222217
0.55,"Athlete 1","Training","",1,2021-04-06 00:28:02,1.00492621003985,0,NA,0,NA,1.76285940191485e-05,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,1.01
